,Year,Latitude,Longitude,Magnitude
85,2015,-15.4296,-173.049,6.0
86,2015,-15.392,-172.9409,6.4
87,2015,-15.4994,-173.0293,6.5
88,2015,-39.2859,78.0903,5.9
89,2015,-15.4261,-172.8635,5.8
90,2015,-10.959,162.4863,5.6
91,2015,-4.915,152.4751,5.7
92,2015,-4.8946,152.49,6.0
93,2015,-16.0213,-172.8346,5.5
94,2015,-17.8607,-178.5831,5.9
95,2015,-23.0158,-176.3463,5.5
96,2015,-6.2934,147.7519,5.9
97,2015,-5.5476,152.7221,5.5
98,2015,-15.1676,-173.2247,6.3
99,2015,-13.7935,65.858,5.7
100,2015,2.1173,126.6945,5.5
101,2015,-15.1965,-173.3499,5.6
102,2015,35.1891,26.8235,6.0
103,2015,-15.8815,-178.6005,6.5
104,2015,24.2026,122.3158,6.4
105,2015,-5.6841,102.4776,5.7
106,2015,24.0851,122.453,6.0
107,2015,24.0471,122.4532,6.1
108,2015,-12.039,166.432,6.2
109,2015,-42.0602,173.0066,6.1
110,2015,51.6148,-130.7714,6.2
111,2015,28.2305,84.7314,7.8
112,2015,27.6285,85.5398,6.1
113,2015,27.6857,86.0213,5.6
114,2015,28.2244,84.8216,6.6
115,2015,27.8822,85.7505,5.5
116,2015,28.3902,87.3173,5.7
117,2015,27.7711,86.0173,6.7
118,2015,-8.3237,-79.8322,5.6
119,2015,-20.8865,-178.6329,6.1
120,2015,17.1089,-95.0355,5.5
121,2015,-60.3933,-26.9077,5.8
122,2015,-5.375,151.7706,6.7
123,2015,-5.2005,151.7773,6.8
124,2015,-5.4912,151.8715,6.0
125,2015,31.5293,140.213,5.7
126,2015,-5.6314,151.6757,6.0
127,2015,-5.5228,151.8552,5.5
128,2015,-5.5385,151.9265,5.9
129,2015,-44.5226,168.8833,5.6
130,2015,-61.4428,154.2683,5.7
131,2015,-5.4624,151.8751,7.5
132,2015,-5.3494,152.0278,5.8
133,2015,-5.4716,152.1638,5.6
134,2015,-5.5289,152.2351,5.8
135,2015,-15.3785,67.2078,5.5
136,2015,-7.2175,154.5567,7.1
137,2015,1.5404,97.9026,5.7
138,2015,-6.1204,149.8228,5.9
139,2015,14.8388,-94.0135,5.6
140,2015,31.2373,142.0157,6.0
141,2015,27.8087,86.0655,7.3
142,2015,27.7141,86.2177,5.5
143,2015,27.625,86.1617,6.3
144,2015,38.9056,142.0317,6.8
145,2015,-2.542,102.2191,6.0
146,2015,27.5603,86.0734,5.5
147,2015,-12.0807,165.8102,5.6
148,2015,-41.5553,80.3254,5.7
149,2015,-7.148,154.4418,5.7
150,2015,-18.6153,168.5853,5.8
151,2015,-54.3312,-132.1618,6.7
152,2015,-19.3021,-175.5247,6.0
153,2015,-10.8759,164.1694,6.8
154,2015,-9.8042,160.3336,5.7
155,2015,-11.0559,163.6959,6.9
156,2015,-11.1093,163.2154,6.8
157,2015,-4.7846,152.5914,5.9
158,2015,-16.855,-14.1708,6.3
159,2015,-19.3933,-175.9627,6.2
160,2015,-59.653,-26.4546,5.8
161,2015,-22.057,-68.5076,5.6
162,2015,-0.3277,135.7341,5.8
163,2015,-58.7355,-25.2138,5.7
164,2015,56.594,-156.43,6.7
165,2015,-47.3578,99.9237,5.9
166,2015,27.8386,140.4931,7.8
167,2015,-15.7216,-173.3817,6.0
168,2015,30.7856,142.9722,6.2
169,2015,44.4584,-129.8114,5.8
170,2015,44.4971,-129.9582,5.9
171,2015,5.9867,116.5409,6.0
172,2015,-37.1708,78.1817,5.6
173,2015,41.5615,142.0308,6.1
174,2015,-56.032,-143.8281,5.6
175,2015,39.6795,143.319,5.8
176,2015,-22.4,-68.4323,6.0
177,2015,39.672,143.331,5.7
178,2015,39.608,143.3457,5.7
179,2015,-15.6758,-173.0098,6.0
180,2015,-24.5961,-176.159,5.5
181,2015,-9.742,125.2517,5.8
182,2015,4.1537,125.8447,5.7
183,2015,-20.3944,-179.0024,5.9
184,2015,-35.3639,-17.1605,7.0
185,2015,-36.3601,-73.812,6.4
186,2015,-36.3656,-73.7481,5.5
187,2015,-59.6293,-26.5027,5.7
188,2015,-23.5295,-177.0845,5.9
189,2015,-20.4307,-178.3276,6.0
190,2015,-19.5686,-175.0399,5.5
191,2015,27.7375,139.7254,6.5
192,2015,27.707,139.7745,5.5
193,2015,27.6475,140.0686,5.6
194,2015,61.6644,-151.962,5.7
195,2015,-32.0722,-178.3241,6.0
196,2015,29.0402,34.6672,5.5
197,2015,-16.0251,-74.2558,5.8
198,2015,36.6802,71.3004,5.5
199,2015,-5.4513,151.5457,6.0
200,2015,-52.2069,159.5935,5.7
201,2015,-10.9911,162.5558,6.0
202,2015,37.4593,78.1542,6.4
203,2015,11.4234,95.032,5.5
204,2015,10.1691,125.8907,6.1
205,2015,-56.6001,-142.1098,5.6
206,2015,-20.7139,-174.5001,5.8
207,2015,43.9097,147.9748,6.3
208,2015,-35.4246,-179.6208,5.6
209,2015,-35.4058,-179.7237,5.6
210,2015,-13.329,-111.6323,5.9
211,2015,-13.3864,-111.3022,5.7
212,2015,-22.9379,-177.1329,5.8
213,2015,13.2949,-90.244,5.6
214,2015,40.3631,141.4646,5.5
215,2015,-9.307,158.403,6.7
216,2015,2.9918,128.1869,5.5
217,2015,33.0229,131.7493,5.5
218,2015,13.8769,-58.4736,5.7
219,2015,13.8672,-58.5479,6.5
220,2015,-18.1214,-178.1887,5.8
221,2015,-10.4012,165.1409,7.0
222,2015,-35.5251,-105.0838,5.7
223,2015,-0.6942,-21.1776,5.5
