,YEAR,TSUNAMI,FOCAL DEPTH OF EARTHQUAKE,EQ_PRIMARY,INTENSITY,COUNTRY,TOTAL DEATHS OF EARTHQUAKE,TOTAL MISSING OF EARTHQUAKE,TOTAL INJURIES OF EARTHQUAKE,TOTAL HOUSES DESTROYED OF EARTHQUAKE,TOTAL HOUSES DAMAGED OF EARTHQUAKE,TOTAL DAMAGES(MILLION $) OF EARTHQUAKE
25,2010,No,37.0,6.2,,PERU,,,11.0,,,
26,2010,No,38.0,7.2,,INDONESIA,,,,,,
27,2010,No,2.0,5.2,,ALGERIA,2.0,,43.0,,,
28,2010,No,113.0,5.8,,USA TERRITORY,,,,,,
29,2010,Yes,10.0,4.4,,USA TERRITORY,,,,,,
30,2010,Yes,35.0,7.5,6.0,INDIA,,,,,,
31,2010,No,5.0,5.8,,USA,,,,,,
32,2010,No,18.0,7.0,6.0,INDONESIA,17.0,,,2556.0,,
33,2010,No,20.0,5.9,,INDIA,,,,,,
34,2010,No,16.0,5.2,,INDIA,,,,,,
35,2010,No,22.0,5.2,6.0,CANADA,,,,,,
36,2010,No,20.0,6.2,,MEXICO,1.0,,,,,
37,2010,No,10.0,5.8,,IRAN,1.0,,32.0,,,
38,2010,No,586.0,7.6,4.0,PHILIPPINES,,,,,,
39,2010,No,24.0,5.4,,IRAN,,,274.0,,,
40,2010,Yes,25.0,7.2,7.0,VANUATU,,,,,,
41,2010,No,207.0,7.1,,ECUADOR,,,,,,
42,2010,Yes,10.0,6.9,,USA TERRITORY,,,,,,
43,2010,No,7.0,5.7,,IRAN,3.0,,200.0,700.0,,
44,2010,No,35.0,4.9,,CHINA,,,14.0,,1001.0,
45,2010,No,12.0,7.0,9.0,NEW ZEALAND,,,2.0,,,6500.0
46,2010,No,9.0,5.0,5.0,NEW ZEALAND,,,,,,
47,2010,No,21.0,5.1,6.0,NEW ZEALAND,,,,,,
48,2010,No,6.0,5.0,7.0,NEW ZEALAND,,,,,,
49,2010,No,10.0,4.8,5.0,BANGLADESH,,,,,,
50,2010,No,27.0,5.8,,IRAN,1.0,,3.0,,,
51,2010,No,33.0,5.2,,PAKISTAN,1.0,,15.0,,100.0,
52,2010,Yes,20.0,7.8,,INDONESIA,431.0,,,700.0,,39.0
53,2010,No,1.0,5.5,6.0,SERBIA,2.0,,100.0,1000.0,5000.0,
54,2010,No,5.0,4.9,,IRAN,,,104.0,,,
55,2010,No,27.0,4.7,,PAKISTAN,,,12.0,,,
56,2010,No,10.0,5.1,,ETHIOPIA,,,,,,
57,2010,No,5.0,3.7,,USA,,,,,,
58,2010,No,12.0,6.5,,IRAN,7.0,,25.0,,1800.0,
59,2010,Yes,14.0,7.4,,JAPAN,,,,,,
60,2010,Yes,16.0,7.3,,VANUATU,,,4.0,,,
61,2010,No,5.0,4.5,,NEW ZEALAND,,,,,20.0,
62,2011,No,24.0,4.5,,IRAN,,,16.0,,,
63,2011,Yes,24.0,6.5,,VANUATU,,,,,,
64,2011,No,68.0,7.2,,PAKISTAN,3.0,,,,200.0,
65,2011,No,31.0,4.8,,CHINA,,,1.0,,700.0,
66,2011,No,85.0,6.3,,MYANMAR (BURMA),1.0,,,,,
67,2011,Yes,28.0,6.8,,CHILE,,,,,,
68,2011,No,1.0,3.1,,USA,,,,,,
69,2011,Yes,6.0,6.1,,NEW ZEALAND,181.0,,1500.0,100000.0,,15000.0
70,2011,No,50.0,5.5,,PHILIPPINES,,,,,,
71,2011,Yes,32.0,7.5,,JAPAN,,,,,,
72,2011,No,26.0,5.5,,CHINA,25.0,,250.0,1039.0,12528.0,
73,2011,Yes,30.0,9.1,,JAPAN,18431.0,,6157.0,123661.0,280920.0,220085.456
74,2011,No,43.0,7.9,,JAPAN,,,,,,
75,2011,No,19.0,7.6,,JAPAN,,,,,,
76,2011,No,8.0,6.8,,MYANMAR (BURMA),75.0,,123.0,,10104.0,3.6
77,2011,No,26.0,5.4,,NEPAL,,,,,,
78,2011,Yes,42.0,7.1,,JAPAN,3.0,,132.0,,,
79,2011,No,43.0,5.1,,CHINA,,,,,,
80,2011,No,11.0,6.6,,JAPAN,7.0,,,3.0,,
81,2011,No,8.0,6.1,,INDONESIA,,,14.0,,,
82,2011,Yes,11.0,6.8,2.0,NEW CALEDONIA,,,,,,
83,2011,No,1.0,5.1,,SPAIN,10.0,,,,,
84,2011,No,7.0,4.3,,TURKEY,2.0,,125.0,,,
85,2011,No,21.0,5.3,,CHINA,,,8.0,,50.0,
86,2011,No,6.0,6.0,,NEW ZEALAND,1.0,,45.0,100.0,,3000.0
87,2011,No,39.0,5.3,,CHINA,,,4.0,,,
88,2011,Yes,52.0,7.3,,USA,,,,,,
89,2011,No,29.0,5.3,,CHINA,,,,10.0,,
90,2011,Yes,17.0,7.6,,KERMADEC ISLANDS (NEW ZEALAND),,,,,,
91,2011,Yes,23.0,7.0,,JAPAN,,,,,,
92,2011,No,20.0,6.1,,UZBEKISTAN,14.0,,86.0,,,
93,2011,No,40.0,5.0,,CHINA,,,3.0,,22823.0,
94,2011,No,10.0,5.7,,CHINA,,,21.0,,,
95,2011,Yes,32.0,7.1,,VANUATU,,,,,,
96,2011,Yes,28.0,7.0,,VANUATU,,,,,,
97,2011,No,4.0,5.4,7.0,USA,,,,,,
98,2011,No,6.0,5.8,7.0,USA,,,,,,
99,2011,Yes,32.0,6.8,,USA,,,,,,
100,2011,No,91.0,6.7,,INDONESIA,10.0,,,,,
101,2011,No,10.0,4.3,,INDIA,,,1.0,,,
102,2011,No,50.0,6.9,,INDIA,111.0,,177.0,,6000.0,22.3
103,2011,No,9.0,5.6,,GUATEMALA,1.0,,,,,
104,2011,No,10.0,5.0,,INDIA,,,34.0,,3000.0,
105,2011,Yes,33.0,7.4,,KERMADEC ISLANDS (NEW ZEALAND),,,,,,
106,2011,No,16.0,7.1,,TURKEY,604.0,,2608.0,5739.0,4882.0,1500.0
107,2011,No,24.0,6.9,,PERU,1.0,,103.0,134.0,,
108,2011,No,10.0,3.5,,INDIA,2.0,,,,,
109,2011,No,3.0,4.0,,ECUADOR,,,,,,
110,2011,No,28.0,5.6,,CHINA,,,,2453.0,,10.5
111,2011,No,5.0,5.7,8.0,USA,,,2.0,14.0,,
112,2011,No,46.0,5.0,,PHILIPPINES,,,31.0,,23.0,
113,2011,No,5.0,5.0,,USA,,,,,,
114,2011,No,5.0,5.7,,TURKEY,40.0,,,,,
115,2011,No,114.0,5.8,,INDIA,,,,,,
116,2011,No,43.0,5.1,,EL SALVADOR,,,,,80.0,
117,2011,No,32.0,5.3,,CHINA,,,,,300.0,
118,2011,No,56.0,5.3,,NEW ZEALAND,,,,,,
119,2011,No,54.0,6.4,,MEXICO,2.0,,5.0,,70.0,
120,2011,No,10.0,5.8,,NEW ZEALAND,,,60.0,,,
121,2011,No,15.0,6.7,,RUSSIA,,,,,,
122,2012,No,8.0,5.3,,IRAN,,,238.0,,,
123,2012,No,43.0,6.4,,PERU,,,119.0,,,
124,2012,Yes,23.0,7.0,,VANUATU,,,,,,
125,2012,No,11.0,6.7,,PHILIPPINES,51.0,62.0,112.0,15000.0,,15.0
126,2012,No,28.0,5.9,,TAIWAN,,,,,,
127,2012,No,10.0,5.2,,IRAN,,,6.0,,,
128,2012,No,37.0,5.6,,PHILIPPINES,,,10.0,1.0,,
129,2012,Yes,16.0,6.7,,VANUATU,,,,,,
130,2012,Yes,12.0,6.9,,JAPAN,,,,,,
131,2012,No,18.0,5.8,,PHILIPPINES,,,55.0,4.0,,
132,2012,Yes,20.0,7.4,8.0,MEXICO,2.0,,13.0,800.0,,
133,2012,No,41.0,7.2,,CHILE,1.0,,14.0,,,
134,2012,Yes,20.0,8.6,,INDONESIA,10.0,,12.0,,,
135,2012,Yes,25.0,8.2,,INDONESIA,,,,,,
136,2012,Yes,11.0,6.3,,VANUATU,,,,,,
137,2012,No,29.0,6.7,,CHILE,2.0,,,,,
138,2012,No,10.0,5.4,,IRAN,,,8.0,,,
139,2012,No,11.0,5.7,,AZERBAIJAN,,,50.0,3100.0,,
140,2012,No,43.0,5.4,,INDIA,,,2.0,,,
141,2012,No,10.0,5.7,,TAJIKISTAN,1.0,,,,,
142,2012,No,10.0,6.3,,CHILE,,,,,,
143,2012,No,10.0,4.1,,BRAZIL,,,,,6.0,
144,2012,No,6.0,6.1,,ITALY,7.0,,50.0,,,
145,2012,No,5.0,5.1,,ITALY,,,,,,
146,2012,No,10.0,5.6,7.0,BULGARIA,,,,,90.0,
147,2012,No,10.0,5.9,,ITALY,17.0,,350.0,,,15800.0
148,2012,No,50.0,5.8,,INDONESIA,,,2.0,,23.0,
149,2012,No,35.0,6.1,,TURKEY,,,6.0,,,
150,2012,No,16.0,5.8,,AFGHANISTAN,75.0,,13.0,143.0,593.0,
151,2012,No,5.0,5.3,,TURKEY,,,23.0,,25.0,
152,2012,No,10.0,5.5,,CHINA,4.0,,394.0,6768.0,,
153,2012,No,18.0,6.3,,CHINA,,,52.0,,30000.0,68.0
154,2012,No,10.0,4.9,,CHINA,1.0,,2.0,,,
155,2012,No,22.0,6.5,,INDONESIA,1.0,,,,20.0,
156,2012,No,20.0,6.4,,SOLOMON ISLANDS,,,,26.0,,
157,2012,No,11.0,6.5,,IRAN,306.0,,3000.0,,,
158,2012,No,583.0,7.7,,RUSSIA,,,,,,
159,2012,No,10.0,6.3,,INDONESIA,6.0,,43.0,471.0,1097.0,
160,2012,Yes,28.0,7.3,,NICARAGUA,,,,,,
161,2012,Yes,28.0,7.6,,PHILIPPINES,1.0,,1.0,,,0.3
162,2012,Yes,35.0,7.6,,COSTA RICA,2.0,,20.0,,,
163,2012,No,10.0,5.6,,CHINA,81.0,,821.0,37000.0,133000.0,1000.0
164,2012,No,10.0,5.0,,INDIA,,,,,1.0,
165,2012,Yes,14.0,7.7,,CANADA,1.0,,,,,
166,2012,Yes,24.0,7.3,,GUATEMALA,48.0,,155.0,2769.0,7561.0,
167,2012,No,14.0,6.8,,MYANMAR (BURMA),26.0,,230.0,251.0,,
168,2012,No,10.0,5.1,,CHINA,,,,,,
169,2012,No,14.0,5.7,,IRAN,8.0,,12.0,,,
170,2012,Yes,31.0,7.2,,JAPAN,,,11.0,,,
171,2013,Yes,10.0,7.5,,USA,,,,,,
172,2013,No,12.0,6.1,,INDONESIA,1.0,,15.0,,71.0,
173,2013,Yes,24.0,7.9,8.0,SOLOMON ISLANDS,10.0,,15.0,588.0,478.0,2.0
174,2013,Yes,21.0,7.0,,SOLOMON ISLANDS,,,,,,
175,2013,No,145.0,7.0,,COLOMBIA,,,15.0,100.0,1900.0,
176,2013,No,,4.2,,RUSSIA,,,1000.0,,4000.0,
177,2013,No,10.0,4.9,,CHINA,,,8.0,72.0,949.0,
178,2013,No,8.0,5.3,,PERU,,,,,80.0,
179,2013,No,8.0,5.4,,CHINA,,,30.0,700.0,2500.0,
180,2013,No,10.0,5.1,,CHINA,,,,864.0,,
181,2013,No,19.0,6.0,,TAIWAN,1.0,,86.0,,,1.128
182,2013,No,12.0,6.3,,IRAN,37.0,,850.0,,700.0,
183,2013,No,4.0,5.4,,HONDURAS,,,,12.0,66.0,
184,2013,No,14.0,5.8,,JAPAN,,,24.0,,,
185,2013,No,80.0,7.7,,IRAN,40.0,,300.0,,1000.0,
186,2013,No,9.0,5.8,,JAPAN,,,3.0,,,
187,2013,No,0.0,2.1,,USA,14.0,,200.0,50.0,,100.0
188,2013,Yes,110.0,7.2,,RUSSIA,,,,,,
189,2013,No,14.0,6.6,,CHINA,196.0,21.0,11470.0,,,
190,2013,No,64.0,5.5,,AFGHANISTAN,18.0,,141.0,,676.0,
191,2013,No,15.0,5.7,,INDIA,3.0,,90.0,1136.0,95532.0,19.5
192,2013,No,15.0,6.1,,IRAN,2.0,,20.0,,,
193,2013,No,7.0,4.9,,ALGERIA,,,5.0,,,
194,2013,No,598.0,8.3,,RUSSIA,,,,,,
195,2013,No,10.0,5.7,,PHILIPPINES,,,33.0,,164.0,
196,2013,No,17.0,6.3,,TAIWAN,4.0,,21.0,,,
197,2013,No,10.0,5.3,,RUSSIA,,,,,500.0,
198,2013,No,47.0,5.1,,INDONESIA,,,50.0,5370.0,1700.0,
199,2013,No,13.0,6.1,,INDONESIA,42.0,6.0,2500.0,20401.0,,
200,2013,No,60.0,5.7,,INDONESIA,,,1.0,124.0,,
201,2013,No,10.0,4.8,,ALGERIA,,,11.0,,,
202,2013,Yes,17.0,6.5,,NEW ZEALAND,,,5.0,,35.0,
203,2013,No,8.0,6.0,,CHINA,94.0,5.0,1001.0,1968.0,22496.0,
204,2013,No,42.0,5.2,3.0,INDIA,,,2.0,,,
205,2013,No,0.0,5.5,,GREECE,,,,100.0,,
206,2013,No,6.0,5.7,,CHINA,,,,,,
207,2013,No,12.0,6.5,6.0,NEW ZEALAND,,,,,,
208,2013,No,21.0,6.2,8.0,MEXICO,,,1.0,,,
209,2013,No,10.0,5.2,,CHINA,,,,36.0,36.0,
210,2013,No,8.0,5.8,,CHINA,5.0,,24.0,600.0,55500.0,
211,2013,No,66.0,6.4,7.0,GUATEMALA,1.0,,11.0,3.0,,
212,2013,Yes,15.0,7.7,4.0,PAKISTAN,825.0,,619.0,32638.0,14118.0,
213,2013,No,31.0,7.1,6.0,PERU,,,,,,
214,2013,No,12.0,6.8,,PAKISTAN,22.0,,50.0,,,
215,2013,No,40.0,6.6,7.0,GREECE,,,1.0,,,
216,2013,No,19.0,7.1,7.0,PHILIPPINES,222.0,8.0,976.0,,,51.8
217,2013,No,10.0,5.5,5.0,INDONESIA,1.0,,2.0,,160.0,
218,2013,Yes,10.0,7.1,4.0,JAPAN,,,1.0,,,
219,2013,No,23.0,5.2,4.0,TAJIKISTAN,,,,104.0,256.0,
220,2013,Yes,10.0,7.7,,ANTARCTICA,,,,,,
221,2013,No,10.0,5.3,,CHINA,,,,,5300.0,
222,2013,No,4.0,5.7,4.0,IRAN,8.0,,200.0,250.0,,
223,2014,No,8.0,5.3,,IRAN,1.0,,30.0,,,
224,2014,No,54.0,5.6,5.0,COLOMBIA,,,,,121.0,
225,2014,No,20.0,6.4,5.0,USA TERRITORY,,,,,,
226,2014,No,28.0,6.1,7.0,NEW ZEALAND,,,,,,
227,2014,No,66.0,6.1,5.0,INDONESIA,,,,1.0,,
228,2014,No,8.0,6.1,7.0,GREECE,,,6.0,,,178.0
229,2014,No,10.0,5.3,,IRAN,,,,,,
230,2014,No,4.0,6.0,3.0,GREECE,,,16.0,,,
231,2014,No,5.0,4.1,4.0,USA,,,,,,
232,2014,No,10.0,6.9,,CHINA,,,,67.0,1001.0,
233,2014,No,1.0,4.5,,AUSTRALIA,,,,,,
234,2014,No,79.0,6.3,5.0,JAPAN,,,18.0,,,
235,2014,Yes,21.0,6.7,6.0,CHILE,,,,,,
236,2014,No,4.0,5.1,6.0,USA,,,,,20.0,10.8
237,2014,Yes,25.0,8.2,8.0,CHILE,7.0,,,,2600.0,100.0
238,2014,Yes,22.0,7.7,8.0,CHILE,,,,,,
239,2014,No,25.0,5.4,,CHINA,,,21.0,75.0,2700.0,
240,2014,No,13.0,6.1,,NICARAGUA,2.0,,250.0,168.0,2210.0,3.0
241,2014,No,61.0,7.1,,PAPUA NEW GUINEA,1.0,,,51.0,,
242,2014,Yes,23.0,7.6,,SOLOMON ISLANDS,,,,,,
243,2014,Yes,39.0,7.4,,SOLOMON ISLANDS,,,,,,
244,2014,No,10.0,5.2,,NICARAGUA,,,,7.0,,
245,2014,Yes,24.0,7.2,6.0,MEXICO,,,,,127.0,
246,2014,Yes,43.0,7.5,,PAPUA NEW GUINEA,,,,,,
247,2014,No,6.0,6.1,5.0,THAILAND,1.0,,32.0,20.0,,62.0
248,2014,No,17.0,6.4,5.0,MEXICO,,,,,,
249,2014,No,15.0,4.5,,PAKISTAN,2.0,,70.0,,,
250,2014,No,5.0,3.6,4.0,GERMANY,,,,,70.0,1.36
251,2014,No,10.0,5.0,4.0,ALBANIA,,,,,,
252,2014,No,23.0,6.9,6.0,GREECE,3.0,,266.0,,,4500.0
253,2014,No,10.0,5.9,,CHINA,,,45.0,3390.0,18000.0,
254,2014,Yes,20.0,6.9,,NEW ZEALAND,,,,,,
255,2014,Yes,109.0,7.9,,USA,,,,,,
256,2014,No,67.0,6.9,5.0,MEXICO,3.0,,33.0,,50.0,
257,2014,Yes,20.0,6.5,5.0,JAPAN,,,3.0,,,
258,2014,No,5.0,3.9,5.0,USA,,,,,,
259,2014,Yes,10.0,6.1,4.0,USA,,,,,,
260,2014,No,107.0,6.3,5.0,MEXICO,1.0,,1.0,,,
261,2014,No,30.0,5.5,6.0,ALGERIA,6.0,,420.0,,,
262,2014,No,12.0,6.2,,CHINA,615.0,114.0,3143.0,25800.0,160400.0,
263,2014,No,5.0,5.5,6.0,SOUTH AFRICA,1.0,,17.0,13.0,1433.0,
264,2014,No,12.0,5.1,5.0,ECUADOR,2.0,,8.0,,89.0,
265,2014,No,10.0,5.0,2.0,CHINA,,,6.0,,337.0,
266,2014,No,6.0,6.2,3.0,IRAN,,,330.0,2700.0,17000.0,
267,2014,No,11.0,6.1,8.0,USA,1.0,,257.0,160.0,1034.0,700.0
268,2014,No,26.0,5.2,5.0,PHILIPPINES,,,1.0,15.0,67.0,
269,2014,No,10.0,5.1,7.0,PERU,8.0,,6.0,106.0,,
270,2014,No,9.0,6.1,,CHINA,1.0,,323.0,,,
271,2014,Yes,17.0,7.0,,CHILE,,,,,,
272,2014,Yes,40.0,7.3,7.0,EL SALVADOR,1.0,,,5.0,41.0,
273,2014,Yes,45.0,7.1,5.0,INDONESIA,,,,,,
274,2014,No,9.0,5.9,3.0,CHINA,5.0,,65.0,30.0,27400.0,
275,2014,No,9.0,6.2,9.0,JAPAN,,,45.0,50.0,,
276,2014,No,10.0,5.6,,CHINA,1.0,,15.0,434.0,17000.0,
277,2014,No,7.0,4.9,,ALGERIA,,,,,,
278,2015,No,10.0,5.3,6.0,CHINA,,,11.0,,2000.0,
279,2015,Yes,23.0,6.7,4.0,JAPAN,,,,,,
280,2015,Yes,10.0,6.4,5.0,VANUATU,,,,,,
281,2015,No,10.0,4.5,,CHINA,,,,,276.0,
282,2015,No,7.0,3.6,,BOSNIA-HERZEGOVINA,4.0,,1.0,,,
283,2015,No,12.0,5.1,,CHINA,,,,,1728.0,14.65
284,2015,No,30.0,5.4,4.0,PAKISTAN,,,5.0,,2.0,
285,2015,No,10.0,4.5,3.0,PERU,,,,64.0,500.0,
286,2015,No,11.0,5.5,,CHINA,,,39.0,220.0,15800.0,
287,2015,No,20.0,4.4,4.0,SERBIA,,,,,100.0,
288,2015,No,184.0,6.2,5.0,COLOMBIA,,,,180.0,2167.0,
289,2015,No,10.0,4.6,,CHINA,2.0,,13.0,155.0,11079.0,
290,2015,Yes,41.0,7.5,6.0,PAPUA NEW GUINEA,,,,,,
291,2015,No,29.0,6.4,4.0,TAIWAN,1.0,,1.0,,19.0,
292,2015,No,8.0,7.8,8.0,NEPAL,8200.0,366.0,17866.0,299588.0,269107.0,10000.0
293,2015,Yes,10.0,5.7,,JAPAN,,,,,,
294,2015,Yes,55.0,7.5,,PAPUA NEW GUINEA,,,,,,
295,2015,No,15.0,7.3,7.0,NEPAL,117.0,,2800.0,,,
296,2015,No,664.0,7.8,6.0,JAPAN,,,12.0,,,
297,2015,No,10.0,6.0,6.0,MALAYSIA,18.0,,,,23.0,
298,2015,No,26.0,5.3,,INDIA,,,2.0,,,
299,2015,No,10.0,6.4,,CHINA,3.0,,263.0,3000.0,,
300,2015,No,32.0,6.1,,PHILIPPINES,1.0,,,,,
301,2015,Yes,12.0,6.7,,SOLOMON ISLANDS,,,,,,
302,2015,Yes,11.0,7.0,8.0,SOLOMON ISLANDS,,,,,,
303,2015,No,17.0,5.1,5.0,PAKISTAN,3.0,,1.0,3.0,,
304,2015,Yes,23.0,6.9,,USA,,,,,,
305,2015,No,48.0,7.0,5.0,INDONESIA,1.0,,,1.0,6.0,
306,2015,No,12.0,5.9,3.0,PANAMA,,,6.0,,45.0,
307,2015,No,11.0,5.8,4.0,RWANDA,3.0,,30.0,,,
308,2015,No,10.0,4.5,4.0,EL SALVADOR,,,4.0,,92.0,
309,2015,Yes,22.0,8.3,9.0,CHILE,15.0,1.0,14.0,2305.0,10044.0,600.0
310,2015,No,10.0,6.6,5.0,INDONESIA,,,62.0,,260.0,
311,2015,No,33.0,5.8,7.0,ARGENTINA,2.0,,30.0,15.0,,
312,2015,No,231.0,7.5,7.0,AFGHANISTAN,399.0,,1770.0,29230.0,79893.0,109.0
313,2015,No,20.0,6.5,5.0,INDONESIA,,,,,1468.0,9.0
314,2015,No,14.0,5.3,,VENEZUELA,1.0,,,33.0,83.0,
315,2015,Yes,10.0,6.9,7.0,CHILE,,,,,,
316,2015,Yes,12.0,6.7,4.0,JAPAN,,,,,,
317,2015,Yes,11.0,6.5,,GREECE,2.0,,4.0,1.0,,
318,2015,No,18.0,5.6,5.0,KYRGYZSTAN,,,,200.0,800.0,
319,2015,Yes,13.0,6.8,4.0,SOLOMON ISLANDS,,,,,,
320,2015,No,5.0,5.1,4.0,VENEZUELA,1.0,,3.0,,6.0,
321,2015,No,636.0,7.6,4.0,PERU,,,,,,
322,2015,No,606.0,7.6,4.0,PERU,,,,,,
323,2015,No,22.0,7.2,3.0,TAJIKISTAN,2.0,,,500.0,,5.0
324,2015,No,85.0,6.6,5.0,MEXICO,2.0,,,,,
325,2015,No,206.0,6.3,5.0,AFGHANISTAN,4.0,,97.0,,,
326,2016,No,55.0,6.7,7.0,INDIA,13.0,,100.0,,,75.0
327,2016,No,4.0,5.6,3.0,INDONESIA,1.0,,22.0,,230.0,
328,2016,No,126.0,7.1,6.0,USA,,,,4.0,,
329,2016,No,12.0,6.3,6.0,MOROCCO,1.0,,26.0,,,
330,2016,No,10.0,6.4,7.0,TAIWAN,117.0,,525.0,,,700.0
331,2016,Yes,24.0,7.8,5.0,INDONESIA,,,,,,
332,2016,No,212.0,6.6,5.0,AFGHANISTAN,6.0,,5.0,,20.0,
333,2016,No,136.0,6.9,5.0,MYANMAR (BURMA),2.0,,170.0,,4.0,
334,2016,No,10.0,7.0,8.0,JAPAN,50.0,,1500.0,80000.0,,20000.0
335,2016,Yes,17.0,7.8,8.0,ECUADOR,663.0,9.0,6274.0,6998.0,29672.0,3300.0
336,2016,Yes,24.0,7.0,,VANUATU,,,,,,
337,2016,No,8.0,5.2,,CHINA,,,60.0,,,
338,2016,No,30.0,6.9,4.0,ECUADOR,1.0,,162.0,,32.0,
339,2016,No,11.0,5.4,5.0,ALGERIA,,,28.0,,,
340,2016,No,50.0,6.6,5.0,INDONESIA,1.0,,30.0,,2663.0,
341,2016,No,31.0,6.3,4.0,INDONESIA,,,,,,
342,2016,No,10.0,5.0,,TAJIKISTAN,,,,31.0,,
343,2016,No,196.0,7.7,4.0,USA TERRITORY,,,,,,
344,2016,No,25.0,4.9,,CHINA,,,,,200.0,
345,2016,No,21.0,5.6,6.0,INDONESIA,,,4.0,,700.0,
346,2016,Yes,16.0,7.2,,NEW CALEDONIA,,,,,,
347,2016,No,8.0,5.5,6.0,PERU,9.0,,68.0,605.0,671.0,
348,2016,Yes,10.0,7.4,,SOUTH GEORGIA AND THE SOUTH SANDWICH ISLANDS,,,,,,
349,2016,Yes,10.0,6.0,2.0,JAPAN,,,,,,
350,2016,No,4.0,6.2,9.0,ITALY,299.0,15.0,368.0,,,5000.0
351,2016,No,82.0,6.8,5.0,MYANMAR (BURMA),4.0,,20.0,,230.0,10.0
352,2016,Yes,19.0,7.0,5.0,NEW ZEALAND,,,,,,
353,2016,No,40.0,5.9,,TANZANIA,23.0,,252.0,1172.0,6281.0,458.0
354,2016,No,13.0,5.1,6.0,MACEDONIA,,,30.0,,,10.0
355,2016,No,13.0,5.4,6.0,SOUTH KOREA,1.0,,14.0,,106.0,21.0
356,2016,No,10.0,4.8,,RWANDA,8.0,,,22.0,,
357,2016,No,8.0,5.5,4.0,NICARAGUA,1.0,,5.0,6.0,487.0,
358,2016,No,10.0,5.4,2.0,PAKISTAN,1.0,,,,,
359,2016,No,6.0,6.2,6.0,JAPAN,,,7.0,2.0,160.0,100.0
360,2016,No,10.0,6.1,7.0,ITALY,1.0,,,,1001.0,
361,2016,No,9.0,6.6,7.0,ITALY,2.0,,20.0,,,200.0
362,2016,No,3.0,5.0,6.0,USA,,,,,50.0,20.0
363,2016,Yes,15.0,7.8,8.0,NEW ZEALAND,2.0,,,1.0,,3900.0
364,2016,Yes,9.0,6.9,7.0,JAPAN,,,15.0,,,
365,2016,Yes,33.0,6.9,5.0,NICARAGUA,,,,,,
366,2016,No,17.0,6.6,7.0,CHINA,1.0,,,,,5.5
367,2016,No,10.0,5.4,4.0,NEPAL,1.0,,1.0,2.0,,
368,2016,No,5.0,4.2,,POLAND,8.0,,9.0,,,
369,2016,No,1.0,5.3,6.0,COSTA RICA,,,,,60.0,
370,2016,No,10.0,6.2,6.0,PERU,1.0,,17.0,8.0,40.0,
371,2016,No,13.0,6.5,8.0,INDONESIA,104.0,,857.0,245.0,18752.0,100.0
372,2016,No,18.0,6.0,3.0,CHINA,1.0,,,,,135.0
373,2016,Yes,40.0,7.8,8.0,SOLOMON ISLANDS,1.0,,,191.0,126.0,
374,2016,Yes,20.0,6.9,7.0,SOLOMON ISLANDS,,,,,,
375,2016,Yes,95.0,7.9,7.0,PAPUA NEW GUINEA,,,,,,
376,2016,No,6.0,5.4,6.0,ECUADOR,3.0,,47.0,10.0,70.0,
